Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
AAAIF,ALTERNATIVE INVESTMENT TRUST UNITS,28567150.12,,,--,+0.2
AACG,ATA Creativity Global(ADR),37133460.00,Consumer Discretionary,Diversified Consumer Services,--,+1.7
AACH,AAC Holdings Inc,402530.00,Health Care,Health Care Providers & Services,--,+2.7
AACQ,Artius Acquisition Inc,934157340.00,,,--,--
AACS,"American Commerce Solutions, Inc.",694690.00,Industrials,Road & Rail,--,-1.0
AAEEF,ALTAIR RESOURCES INC,118230.00,Materials,Metals & Mining,--,+4.3
AAGC,All American Gold Corp,881650.00,Materials,Metals & Mining,--,-0.6
AAGH,America Great Health,242832260.00,,,--,-0.3
AAIC,Arlington Asset Investment Corp,122847900.00,Financials,Mortgage Real Estate Investment Trusts (REITs),--,+1.8
AAIIQ,"Alabama Aircraft Industries, Inc.",289170.00,Industrials,Aerospace & Defense,--,-0.0
AAMC,Altisource Asset Management Corp,37128000.00,Real Estate,Real Estate Management & Development,--,+0.6
AAME,Atlantic American Corporation,46135640.00,Financials,Insurance,--,+0.3
AAN,Aaron S Company Inc,588767970.00,,,--,--
AAOI,Applied Optoelectronics Inc,181280640.00,Information Technology,Communications Equipment,--,+1.8
AAPJ,Aap 101 Inc,1379000.00,Industrials,Machinery,--,+0.4
AAPT,All American Pet Co Inc,172870.00,Consumer Staples,Food Products,--,--
AASL,"America's Suppliers, Inc.",4889500.00,,,--,--
AASP,All-American Sportpark Inc,1182520.00,,,--,-0.4
AATGF,ATI AIRTEST TECHNOLOGIES INC COM NEW,4016480.00,,,--,-0.9
AAU,Almaden Minerals Ltd. (USA),83853880.00,Materials,Metals & Mining,--,+1.5
AAVVF,ADVANTAGE OIL & GAS LTD,273859500.00,Energy,"Oil, Gas & Consumable Fuels",--,+1.8
AAWC,Alexandria Advantage Warranty Co,4540490.00,Information Technology,Semiconductors & Semiconductor Equipment,--,+8.9
AAXT,"Aamaxan Transport Group, Inc.",1295350.00,,,--,--
ABAKF,ABERDEEN ASIA-PACIFIC INCM IVT SHS,112535160.00,,,9.31%,+0.6
ABBB,Auburn Bancorp Inc,5030000.00,Financials,Thrifts & Mortgage Finance,--,--
ABBY,Abby Inc,675440.00,Consumer Discretionary,Specialty Retail,--,+1.5
ABCE,ABCO Energy Inc,806400.00,,,--,+1.4
ABCP,AmBase Corporation,12628780.00,,,--,+0.9
ABDR,Ambassador Food Services Corp.,221970.00,,,--,--
ABEC,Analytica Bio - Energy Corp,233440.00,Information Technology,"Electronic Equipment, Instruments & Components",--,--
ABEO,Abeona Therapeutics Inc,148767430.00,Health Care,Biotechnology,--,+1.7
ABEPF,VISION LITHIUM INC,2217480.00,Materials,Metals & Mining,--,+0.8
ABGSF,ABG SUNDIAL COLLIER ASA SHS,251588310.00,,,7.42%,+0.8
ABILF,Ability Inc,1438020.00,Industrials,Aerospace & Defense,--,+0.8
ABIO,Arca Biopharma Inc,39893880.00,Health Care,Biotechnology,--,+2.8
ABLE,"Able Energy, Inc.",1500.00,Energy,"Oil, Gas & Consumable Fuels",--,--
ABLT,American Biltrite Inc.,8000000.00,Materials,Chemicals,--,+0.9
ABMC,American Bio Medica Corporation,3595300.00,Health Care,Health Care Equipment & Supplies,--,-1.5
ABML,American Battery Metals Corp,93814530.00,Materials,Metals & Mining,--,+0.3
ABMT,Advanced Biomedical Technologies Inc,13995000.00,Health Care,Health Care Equipment & Supplies,--,-0.8
ABQQ,Ab International Group Corp,732780.00,Information Technology,Software,--,--
ABSCF,AB SCIENCE PARIS SHS,548957160.00,,,--,+0.6
ABSSF,AIRBOSS OF AMERICA CORP,369191480.00,Materials,Chemicals,1.59%,+1.1
ABTI,Alterola Biotech Inc,141891400.00,Consumer Staples,Personal Products,--,--
ABTO,AB&T Financial Corporation,1173920.00,,,1.16%,+0.2
ABTX,Allegiance Bancshares Inc,692778240.00,Financials,Banks,1.17%,+1.2
ABUS,Arbutus Biopharma Corp,307370580.00,Health Care,Biotechnology,--,+3.2
ABVC,American Brivision (Holding) Corp,88459500.00,,,--,--
ABVG,Affinity Beverage Group Inc,329940.00,,,--,--
ABVN,Abv Consulting Inc,2489850.00,Industrials,Professional Services,--,--
ABWN,Airborne Wireless Network,486270.00,Communication Services,Diversified Telecommunication Services,--,+1.8
AC,Associated Capital Group Inc,823723650.00,Financials,Capital Markets,0.55%,+1.3
ACACU,Acies Acquisition Corp,310662580.00,,,--,--
ACAI,Safeplus International Holdings Ltd,8345200.00,Health Care,Health Care Equipment & Supplies,--,+0.4
ACAM,Acamar Partners Acquisition Corp,395911910.00,,,--,--
ACAN,Americann Inc,23740050.00,Health Care,Pharmaceuticals,--,+0.9
ACAZF,ACADIAN TIMBER CORP,210256200.00,Materials,Paper & Forest Products,7.25%,+1.0
ACBD,Annabidiol Corp,23310830.00,,,--,+0.1
ACBI,Atlantic Capital Bancshares Inc,312308370.00,Financials,Banks,--,+0.9
ACBM,ACRO Biomedical Co Ltd,179577600.00,Health Care,Health Care Providers & Services,--,--
ACCA,Acacia Diversified Holdings Inc,1022690.00,Health Care,Pharmaceuticals,--,-1.0
ACCO,ACCO Brands Corporation,794719770.00,Industrials,Commercial Services & Supplies,3.07%,+2.3
ACCR,Access-Power & Co Inc,1140000.00,,,--,--
ACEL,Accel Entertainment Inc,883837480.00,,,--,+1.3
ACER,Acer Therapeutics Inc,29484000.00,Health Care,Pharmaceuticals,--,+1.7
ACEZ,Ariel Clean Energy Inc,38543300.00,,,--,+7.8
ACFL,AMC Financial Holdings Inc,2724050.00,,,--,+0.1
ACFN,Acorn Energy Inc,19050240.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+1.4
ACGI,Amacore Group Inc,209590.00,Health Care,Health Care Providers & Services,--,+3.6
ACGJ,ACI Global Corp.,0.00,,,--,--
ACGPF,ACCELL GROUP NV HEERENVEEN SHS,867141750.00,,,--,+1.7
ACGX,Alliance Creative Group Inc,94120.00,Materials,Containers & Packaging,--,+3.8
ACHV,Achieve Life Sciences Inc,43187340.00,Health Care,Biotechnology,--,+1.7
ACIU,AC Immune SA,357499750.00,Health Care,Biotechnology,--,+0.8
ACLS,Axcelis Technologies Inc,939562800.00,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.4
ACMB,Agro Capital Management Corp,13938400.00,,,--,--
ACMC,American Church Mortgage Company,1777620.00,,,7.55%,+0.3
ACMT,ACMAT CORP  -CL A,12432000.00,Financials,Insurance,--,-0.1
ACMTA,ACMAT Corporation,26745250.00,Financials,Insurance,--,-0.1
ACNB,ACNB Corporation,239201950.00,Financials,Banks,3.64%,+0.1
ACNI,"American Community Newspapers, Inc.",39480.00,Communication Services,Media,--,+2.1
ACNV,Accelera Innovations Inc,227940.00,,,--,+1.4
ACOR,Acorda Therapeutics Inc,37161440.00,Health Care,Biotechnology,--,+0.7
ACOSF,ARCHOS ACT NOM,14309520.00,,,--,+1.0
ACP,Aberdeen Income Credit Strategies Fund,187648510.00,,,11.30%,+1.1
ACPS,AC Partners Inc,102696701.05,Industrials,Building Products,--,--
ACRB,Asia Carbon Industries Inc,252260.00,Materials,Chemicals,--,-3.1
ACRE,Ares Commercial Real Estate Corp,390936980.00,Financials,Mortgage Real Estate Investment Trusts (REITs),11.21%,+1.4
ACRL,Atacama Resources International Inc,5795430.00,,,--,+1.6
ACRS,Aclaris Therapeutics Inc,158156510.00,Health Care,Pharmaceuticals,--,+1.0
ACRX,AcelRx Pharmaceuticals Inc,128478760.00,Health Care,Pharmaceuticals,--,+1.2
